Name,Address_0,Latitude_0,Longitude_0,place_id,,,,Address_0,Latitude_0,Longitude_0,,C_A,C_T,C_G
CBL,"154, Jalan Lebuhraya Senai, Taman Bahagia, 81400 Senai, Johor, Malaysia",1.6016869,103.645414,ChIJFxE9ts9w2jERmrYbDGXueJs,,,,null,null,null,,"154, Jalan Lebuhraya Senai, Taman Bahagia, 81400 Senai, Johor, Malaysia",1.6016869,103.645414
TCN - The Card Network,"New Bldg Engineers Park St Ives Way, Network, Factory Rd, Deeside CH5 2QS, United Kingdom",53.1984422,-2.9966209,ChIJj6b0bEHbekgRvXUKJoTgs5I,,,,null,null,null,,"New Bldg Engineers Park St Ives Way, Network, Factory Rd, Deeside CH5 2QS, United Kingdom",53.1984422,-2.9966209
University of Queensland Business Association (UQBA),"21 Lower Kent Ridge Rd, Singapore 119077",1.2966426,103.7763939,ChIJ2QJCeFYa2jERa434wdYIjUg,,,,null,null,null,,"21 Lower Kent Ridge Rd, Singapore 119077",1.2966426,103.7763939
PaySmart,null,null,null,null,,,,null,null,null,,null,null,null
SiDCOR chartered accountants,"50 Hunter St, Newcastle NSW 2300, Australia",-32.9279446,151.7850732,ChIJ9YgeBnsUc2sRnKfcgSsC-jU,,,,null,null,null,,"50 Hunter St, Newcastle NSW 2300, Australia",-32.9279446,151.7850732
Ally Financial Group,"3 Tampines Central 1, #06-02 Abacus Plaza, Singapore 529540",1.352687,103.9429503,ChIJfTow2E492jERqichiwo_xwU,,,,null,null,null,,"3 Tampines Central 1, #06-02 Abacus Plaza, Singapore 529540",1.352687,103.9429503
Blue Crane Capital,"Level 9/16 O'Connell St, Sydney NSW 2000, Australia",-33.8653123,151.2097152,ChIJSSUZSUGuEmsRaq09AsKs8Ho,,,,null,null,null,,"Level 9/16 O'Connell St, Sydney NSW 2000, Australia",-33.8653123,151.2097152
legalsuper,"37/140 William St, Melbourne VIC 3000, Australia",-37.815831,144.9588324,ChIJB6xuh0xd1moRYqKtBhreM8Y,,,,null,null,null,,"37/140 William St, Melbourne VIC 3000, Australia",-37.815831,144.9588324
OMF Markets,"King Street Wharf, Suite 401/45 Lime St, Sydney NSW 2000, Australia",-33.8682348,151.201776,ChIJiVWV9DiuEmsRHxMVr0FU9B4,,,,"Suite 401, 45 Lime Street , Sydney , null, 2000, AU",-25.728104,134.49019,,"Suite 401, 45 Lime Street , Sydney , null, 2000, AU",-25.728104,134.49019
OrbitRemit,"14/49-51 York St, Sydney NSW 2000, Australia",-33.867081,151.205608,ChIJ077OHkKuEmsRnU0dPWt35WU,,,,null,null,null,,"14/49-51 York St, Sydney NSW 2000, Australia",-33.867081,151.205608
Eightcap,"6/360 Collins St, Melbourne VIC 3000, Australia",-37.8164313,144.9622636,ChIJE-YC2ctC1moR7CMTsx2k5BA,,,,null,null,null,,"6/360 Collins St, Melbourne VIC 3000, Australia",-37.8164313,144.9622636
First Nations Foundation,"1 Gold St, Collingwood VIC 3066, Australia",-37.7988738,144.9889611,ChIJLx2B5bRC1moRa0meDMDG7vk,,,,null,null,null,,"1 Gold St, Collingwood VIC 3066, Australia",-37.7988738,144.9889611
Dixon Advisory,"Level 4/1 Eagle St, Brisbane City QLD 4000, Australia",-27.470273,153.030507,ChIJW4x0ZBxakWsRVGXzR5OtJiY,,,,null,null,null,,"Level 4/1 Eagle St, Brisbane City QLD 4000, Australia",-27.470273,153.030507
CareSuper,"Nishi, Building, Level 9/2 Phillip Law St, Canberra ACT 2601, Australia",-35.2849253,149.1229235,ChIJDafo60BNFmsRYsM9HZSLkq8,,,,null,null,null,,"Nishi, Building, Level 9/2 Phillip Law St, Canberra ACT 2601, Australia",-35.2849253,149.1229235
Rural Bank,"10 Hoe Chiang Rd, Singapore 089315",1.2744583,103.8423936,ChIJtcIBemsZ2jER_ILTA47aLGs,,,,null,null,null,,"10 Hoe Chiang Rd, Singapore 089315",1.2744583,103.8423936
ACY Securities,"Level 18/799 Pacific Hwy, Chatswood NSW 2067, Australia",-33.7977268,151.1791931,ChIJowgfsNOoEmsR5Rcmaq2jfd8,,,,null,null,null,,"Level 18/799 Pacific Hwy, Chatswood NSW 2067, Australia",-33.7977268,151.1791931
Asteron Life,"36 Wickham Terrace, Brisbane City QLD 4000, Australia",-27.4648555,153.0275693,ChIJNx9KQx1akWsRo6iE7TmfxIY,,,,null,null,null,,"36 Wickham Terrace, Brisbane City QLD 4000, Australia",-27.4648555,153.0275693
SuperConcepts,"Saravanampatti, Coimbatore, Tamil Nadu 641035, India",11.084409,76.9972276,ChIJE2iD9ZL3qDsRPpesK74Cbww,,,,null,null,null,,"Saravanampatti, Coimbatore, Tamil Nadu 641035, India",11.084409,76.9972276
Taxback.com,"marsz. Ferdynanda Focha 13, 26-610 Radom, Poland",51.4031361,21.1543142,ChIJQ1N55s1eGEcRD8aa5am8yaY,,,,null,null,null,,"marsz. Ferdynanda Focha 13, 26-610 Radom, Poland",51.4031361,21.1543142
Qudos Bank,"397 Keilor Rd, Niddrie VIC 3042, Australia",-37.737354,144.891868,ChIJm5Y0egxc1moRxRUhtNZTEUk,,,,null,null,null,,"397 Keilor Rd, Niddrie VIC 3042, Australia",-37.737354,144.891868
Stake,"1 Vista Exchange Green, #01-42/K3, Singapore 138617",1.3065702,103.7879093,ChIJXyBgq2sa2jER7yoBN8lVbEQ,,,,null,null,null,,"1 Vista Exchange Green, #01-42/K3, Singapore 138617",1.3065702,103.7879093
Empower Wealth,"level 2/68 York St, Sydney NSW 2000, Australia",-33.8703947,151.2065713,ChIJF8y2HD-uEmsRgNAIaH6vSCI,,,,null,null,null,,"level 2/68 York St, Sydney NSW 2000, Australia",-33.8703947,151.2065713
Simplicity Loans & Advisory,"150 Cecil St, #03-00, Singapore 069543",1.2801853,103.8482963,ChIJz4zgOosX2jERa5Mm-8-91UA,,,,null,null,null,,"150 Cecil St, #03-00, Singapore 069543",1.2801853,103.8482963
PAC Partners,"Level 10/330 Collins St, Melbourne VIC 3000, Australia",-37.816211,144.9632531,ChIJgWtVPE1d1moRexdq2ZlbO9k,,,,null,null,null,,"Level 10/330 Collins St, Melbourne VIC 3000, Australia",-37.816211,144.9632531
Mergers and Acquisitions,"4 Bayley St, Geelong VIC 3220, Australia",-38.1447702,144.3577185,ChIJz-7cSh0U1GoRdiBU9jnjyGI,,,,null,null,null,,"4 Bayley St, Geelong VIC 3220, Australia",-38.1447702,144.3577185
EAC Partners,"Level 8/56 Pitt St, Sydney NSW 2000, Australia",-33.8638486,151.2092131,ChIJPfAjReivEmsRG4AbA2_ILj0,,,,null,null,null,,"Level 8/56 Pitt St, Sydney NSW 2000, Australia",-33.8638486,151.2092131
Aegon Insights,"Tempo Scan Tower, 31 Floor Jl. H.R. Rasuna Said Kav 3-4, RT.5/RW.4, Kuningan Tim., Jakarta, Daerah Khusus Ibukota Jakarta 12950, Indonesia",-6.235213,106.829173,ChIJXWi90-fzaS4Rohl_RCUzWUc,,,,null,null,null,,"Tempo Scan Tower, 31 Floor Jl. H.R. Rasuna Said Kav 3-4, RT.5/RW.4, Kuningan Tim., Jakarta, Daerah Khusus Ibukota Jakarta 12950, Indonesia",-6.235213,106.829173
Boston Merchant Financial Ltd.,"12 Marina Boulevard, Tower 3, #26-04 Marina Bay Financial Centre, Singapore 018982",1.2789395,103.8544898,ChIJVVVVVQwZ2jERCzyDYMSjkS4,,,,null,null,null,,"12 Marina Boulevard, Tower 3, #26-04 Marina Bay Financial Centre, Singapore 018982",1.2789395,103.8544898
Carbon Trade eXchange (CTX),null,null,null,null,,,,null,null,null,,null,null,null
Nodifi,"Suite 101/962 South Rd, Edwardstown SA 5039, Australia",-34.9783904,138.5731795,ChIJozmesuvPsGoRlgyS9pj8Nxc,,,,null,null,null,,"Suite 101/962 South Rd, Edwardstown SA 5039, Australia",-34.9783904,138.5731795
Henslow - Oaklins Member Firm,null,null,null,null,,,,null,null,null,,null,null,null
FX Connect,"118 229, 18 Science Park Dr, Singapore 118229",1.2902966,103.7882562,ChIJJR6uQE0a2jER25UZddHBMMw,,,,null,null,null,,"118 229, 18 Science Park Dr, Singapore 118229",1.2902966,103.7882562
Data Action,"70 Shenton Way, #09-08 EON Shenton, Singapore 079118",1.2739069,103.846216,ChIJvbpTP0EBBBARLHfdjhXwv4s,,,,null,null,null,,"70 Shenton Way, #09-08 EON Shenton, Singapore 079118",1.2739069,103.846216
Finsure,"24/52 Martin Pl, Sydney NSW 2000, Australia",-33.867357,151.210985,ChIJuSKc-j-uEmsRMeEeZlIgU-g,,,,null,null,null,,"24/52 Martin Pl, Sydney NSW 2000, Australia",-33.867357,151.210985
Canstar,"16, Jalan Metro Perdana Timur 11, Kepong Entreprenurs Park, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.2180694,101.6472844,ChIJ98T7Q_pHzDERBi4Xs5eOb-c,,,,null,null,null,,"16, Jalan Metro Perdana Timur 11, Kepong Entreprenurs Park, 52100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.2180694,101.6472844
sgfleet,"14 Gibberd Rd, Balcatta WA 6021, Australia",-31.865519,115.811243,ChIJLfkU-VuuMioRo4nYV7J29Bw,,,,null,null,null,,"14 Gibberd Rd, Balcatta WA 6021, Australia",-31.865519,115.811243
Qontigo,"30 Raffles Place, Chevron House, Singapore 048622",1.2843,103.851955,ChIJbXhutQ4Z2jERIPKDUI2BO1A,,,,null,null,null,,"30 Raffles Place, Chevron House, Singapore 048622",1.2843,103.851955
Future Fund,"150 Kg Ampat #04-01, KA Centre, Singapore",1.3356731,103.8836505,ChIJbeemII4X2jERdfCF3BacXqQ,,,,null,null,null,,"150 Kg Ampat #04-01, KA Centre, Singapore",1.3356731,103.8836505
FIIG Securities,"Level 20/126 Phillip St, Sydney NSW 2000, Australia",-33.866745,151.2117,ChIJKYsiz0GuEmsRwX5H0yessic,,,,null,null,null,,"Level 20/126 Phillip St, Sydney NSW 2000, Australia",-33.866745,151.2117
Export Finance Australia,"25 Napier Rd, Singapore 258507",1.3055359,103.8194284,ChIJAQAAWCAa2jERM3iPwiLGKhU,,,,null,null,null,,"25 Napier Rd, Singapore 258507",1.3055359,103.8194284
Bitcoin Group,"21 Heng Mui Keng Terrace, #01-01 NUS Enterprise, Singapore 119613",1.2924684,103.7756614,ChIJr19c6M8b2jERLoQz_rD4vI0,,,,null,null,null,,"21 Heng Mui Keng Terrace, #01-01 NUS Enterprise, Singapore 119613",1.2924684,103.7756614
Platypus Asset Management,"L23, GPT, 1 Farrer Pl, Sydney NSW 2000, Australia",-33.8639936,151.2111452,ChIJg5VYhUCuEmsRSbisd9rRmDI,,,,null,null,null,,"L23, GPT, 1 Farrer Pl, Sydney NSW 2000, Australia",-33.8639936,151.2111452
