Name,Address_0,Latitude_0,Longitude_0,place_id,,,,Address_0,Latitude_0,Longitude_0,,C_A,C_T,C_G
66fit Limited,null,null,null,null,,,,"Unit 16/50, Brendale, Queensland, 4500, AU",-27.47126,153.01831,,"Unit 16/50, Brendale, Queensland, 4500, AU",-27.47126,153.01831
Solve Disability Solutions (formerly TADVIC),"16 Harper St, Abbotsford VIC 3067, Australia",-37.803937,144.9996089,ChIJAz3le5FD1moR0f3Df575Ktg,,,,null,null,null,,"16 Harper St, Abbotsford VIC 3067, Australia",-37.803937,144.9996089
Equissage Therapy,"29 Resource St, Parkinson QLD 4115, Australia",-27.657227,153.035316,ChIJnXJWk2ZBkWsRoiP_bWH1blo,,,,"Southlink Estate, Parkinson, QLD, 4115, AU",-27.47126,153.01831,,"Southlink Estate, Parkinson, QLD, 4115, AU",-27.47126,153.01831
Ask The Dentist,"2 Jln Ubi, #01-11, Singapore 409074",1.3184723,103.8997319,ChIJz30wRScZ2jERtMwE6jjFLuo,,,,"1 Elizabeth Plaza, North Sydney, NSW, 2060, AU",-33.84907,151.13834,,"1 Elizabeth Plaza, North Sydney, NSW, 2060, AU",-33.84907,151.13834
Anyinginyi Health Aboriginal Corporation,"1 Irvine St, Tennant Creek NT 0860, Australia",-19.6443264,134.1884123,ChIJ618AXIpMTCsRITKlag1ACk0,,,,null,null,null,,"1 Irvine St, Tennant Creek NT 0860, Australia",-19.6443264,134.1884123
BodyTech Personal Training,"251/269 Bay St, Brighton-Le-Sands NSW 2216, Australia",-33.9596198,151.1526714,ChIJYWpem023EmsR-X5ZOiVcUEk,,,,null,null,null,,"251/269 Bay St, Brighton-Le-Sands NSW 2216, Australia",-33.9596198,151.1526714
WeightLoss Solutions Australia,"Suite 3, Podium Level Lakeside 1, 1 Lake Orr Dr, Varsity Lakes QLD 4227, Australia",-28.0753585,153.4214519,ChIJhclagGYDkWsRBFWsY_Ep17k,,,,null,null,null,,"Suite 3, Podium Level Lakeside 1, 1 Lake Orr Dr, Varsity Lakes QLD 4227, Australia",-28.0753585,153.4214519
Nganampa Health Council Incorporated,"3 Wilkinson St, Ciccone NT 0870, Australia",-23.7007206,133.8706866,ChIJPfJ6REwZMisRJDQf7un0qqc,,,,null,null,null,,"3 Wilkinson St, Ciccone NT 0870, Australia",-23.7007206,133.8706866
COYO Australia,"76 Nambour Connection Rd, Woombye QLD 4559, Australia",-26.6722154,152.99111,ChIJ_85hCjqwaQERtaKEOq4sH2A,,,,null,null,null,,"76 Nambour Connection Rd, Woombye QLD 4559, Australia",-26.6722154,152.99111
Mini Movers,"wisma, 62-2, Jalan Alam Damai 1, Alam Damai, 56000 Cheras, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.0699588,101.7429208,ChIJ2ak2Qtg1zDERGTOpuyct_xg,,,,null,null,null,,"wisma, 62-2, Jalan Alam Damai 1, Alam Damai, 56000 Cheras, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.0699588,101.7429208
