Name,Latitude,Longitude,,Latitude_0,Longitude_0,,C_T,C_G
Archa,24.90648,88.92748,,null,null,,24.90648,88.92748
InvestSMART Group Limited,-37.823064,144.966873,,null,null,,-37.823064,144.966873
Bartercard Australia,null,null,,null,null,,null,null
Propex Derivatives,54.174966,-6.337547,,null,null,,54.174966,-6.337547
Allan Gray Australia,-41.62871,148.22841,,null,null,,-41.62871,148.22841
(CFSGAM) Colonial First State Global Asset Management,null,null,,null,null,,null,null
Shop Your Own Mortgage,42.399707,-71.111993,,null,null,,42.399707,-71.111993
State Trustees,-37.811519,144.970736,,null,null,,-37.811519,144.970736
Toyota Finance Australia,35.080967,137.158608,,null,null,,35.080967,137.158608
Association of Superannuation Funds of Australia (ASFA),null,null,,null,null,,null,null
Mercer Australia,null,null,,null,null,,null,null
Jarden,42.696204,23.318779,,null,null,,42.696204,23.318779
Australian Ethical Investment,-27.451694,153.060874,,null,null,,-27.451694,153.060874
Foresight CFO,-10.633725,-51.565599,,null,null,,-10.633725,-51.565599
Lombard Risk,41.879229,-88.011145,,null,null,,41.879229,-88.011145
The Trust Company (now part of Perpetual),null,null,,-33.84907,151.13834,,-33.84907,151.13834
Financial Index Wealth Accountants,40.706844,-74.011606,,-37.803425,145.01105,,-37.803425,145.01105
Wattle Partners | Private Wealth Managers,6.900756,79.869425,,null,null,,6.900756,79.869425
BMYG,null,null,,null,null,,null,null
Financial and Energy Exchange Group,44.970263,-93.157516,,-33.84907,151.13834,,-33.84907,151.13834
FinTech QLD,44.442319,18.875071,,null,null,,44.442319,18.875071
Simply,41.8974,12.499567,,null,null,,41.8974,12.499567
Shartru Wealth,42.955888,-85.64508,,null,null,,42.955888,-85.64508
DomaCom,null,null,,null,null,,null,null
ARL Collect Pty Ltd,null,null,,null,null,,null,null
BT Academy,52.896058,-1.26611,,null,null,,52.896058,-1.26611
Grow Finance,43.918669,-69.9945,,null,null,,43.918669,-69.9945
Verrency,null,null,,null,null,,null,null
Energy Super,40.93219,-80.26886,,null,null,,40.93219,-80.26886
Future Super,-2.070871,29.352267,,null,null,,-2.070871,29.352267
eWAY,null,null,,null,null,,null,null
Access Finance & Capital Pty Ltd,18.006759,-76.788521,,-31.939821,115.8162,,-31.939821,115.8162
Milliman Financial Risk Management,null,null,,null,null,,null,null
iSignthis Ltd (ASX: ISX),null,null,,null,null,,null,null
SuperRatings,null,null,,null,null,,null,null
ADVAM,30.645441,76.822773,,null,null,,30.645441,76.822773
IFS Group,49.146843,-0.347837,,null,null,,49.146843,-0.347837
Debitsuccess,null,null,,null,null,,null,null
"IQ Group, Australia",48.456632,35.05838,,null,null,,48.456632,35.05838
Axiom World (Pvt) Ltd,27.72877,85.32505,,null,null,,27.72877,85.32505
Women in Sustainable Finance,null,null,,null,null,,null,null
Zenith Investment Partners,35.945989,-84.159574,,null,null,,35.945989,-84.159574
Comparethemarket.com.au,null,null,,null,null,,null,null
ZayZoon,null,null,,null,null,,null,null
Bennelong Funds Management,null,null,,null,null,,null,null
Caleb and Brown,-33.529106,-70.673234,,null,null,,-33.529106,-70.673234
Selectus,53.591227,9.833534,,null,null,,53.591227,9.833534
Next Payments,33.916958,-117.568809,,null,null,,33.916958,-117.568809
Xchainge,null,null,,null,null,,null,null
Northern Australia Infrastructure Facility,9.479309,-0.771111,,null,null,,9.479309,-0.771111
Tasplan Super,51.340211,-2.972209,,null,null,,51.340211,-2.972209
Optimum Pensions,38.026507,23.730919,,null,null,,38.026507,23.730919
Simple KYC,47.887471,-0.850022,,null,null,,47.887471,-0.850022
Proclaim Pty Ltd,-38.094211,144.368721,,null,null,,-38.094211,144.368721
Regional Australia Bank,-30.514352,151.6651,,null,null,,-30.514352,151.6651
BetaSmartz,null,null,,null,null,,null,null
GiftPay,null,null,,null,null,,null,null
Russell Investments - Australia & NZ,32.29743,-85.179751,,null,null,,32.29743,-85.179751
Bravure Group,24.76667,124,,null,null,,24.76667,124
AIMS Financial Group,null,null,,null,null,,null,null
MyState Limited,-41.466529,147.158687,,null,null,,-41.466529,147.158687
Viridios Capital,null,null,,null,null,,null,null
Power Loans,42.626846,-112.762383,,null,null,,42.626846,-112.762383
EKO Financial,6.550449,3.574901,,null,null,,6.550449,3.574901
Planum Partners,null,null,,null,null,,null,null
JBWere,null,null,,null,null,,null,null
Practifi,null,null,,null,null,,null,null
Tibra Capital,null,null,,null,null,,null,null
Wisr,40.874822,-79.902941,,null,null,,40.874822,-79.902941
New Payments Platform (Australia),null,null,,null,null,,null,null
