Name,Address_0,Latitude_0,Longitude_0,place_id,,,,Address_0,Latitude_0,Longitude_0,,C_A,C_T,C_G
Bickerton Masters,null,null,null,null,,,,null,null,null,,null,null,null
Dickson Rothschild,null,null,null,null,,,,null,null,null,,null,null,null
Saunders Havill Group,null,null,null,null,,,,null,null,null,,null,null,null
AMC Architecture,null,null,null,null,,,,null,null,null,,null,null,null
Human Habitats,null,null,null,null,,,,null,null,null,,null,null,null
Vee Design,null,null,null,null,,,,null,null,null,,null,null,null
Leaf Architecture,null,null,null,null,,,,null,null,null,,null,null,null
Six Degrees Architects,null,null,null,null,,,,null,null,null,,null,null,null
fitzpatrick+partners,null,null,null,null,,,,null,null,null,,null,null,null
AR-MA,null,null,null,null,,,,"101-111 William Street, Sydney, NSW, 2000, AU",-25.574999,134.3547,,"101-111 William Street, Sydney, NSW, 2000, AU",-25.574999,134.3547
GROUPN Architecture Interior Landscape,null,null,null,null,,,,"L6 / 111-117 Devonshire Street, SURRY HILLS, NSW, 2010, AU",-33.84907,151.13834,,"L6 / 111-117 Devonshire Street, SURRY HILLS, NSW, 2010, AU",-33.84907,151.13834
Archit // Project Design,null,null,null,null,,,,null,null,null,,null,null,null
Open House Melbourne,null,null,null,null,,,,null,null,null,,null,null,null
Monteath & Powys Pty Ltd,null,null,null,null,,,,null,null,null,,null,null,null
ambience,null,null,null,null,,,,null,null,null,,null,null,null
Crossley Transport Planning,null,null,null,null,,,,null,null,null,,null,null,null
Office of the Victorian Government Architect (OVGA),null,null,null,null,,,,null,null,null,,null,null,null
HillPDA Consulting,null,null,null,null,,,,null,null,null,,null,null,null
LatStudios,null,null,null,null,,,,null,null,null,,null,null,null
Stewart Architecture,null,null,null,null,,,,null,null,null,,null,null,null
Bruce Henderson Architects Pty Ltd,null,null,null,null,,,,null,null,null,,null,null,null
BELL Architecture Pty Ltd,null,null,null,null,,,,null,null,null,,null,null,null
K2LD,null,null,null,null,,,,null,null,null,,null,null,null
Parametric Monkey,null,null,null,null,,,,null,null,null,,null,null,null
Stanton Dahl Architects,null,null,null,null,,,,null,null,null,,null,null,null
TVS Architects,null,null,null,null,,,,null,null,null,,null,null,null
Wilson Architects,null,null,null,null,,,,null,null,null,,null,null,null
Mecone - Urban Planning,null,null,null,null,,,,null,null,null,,null,null,null
Planit Consulting Pty Ltd,null,null,null,null,,,,null,null,null,,null,null,null
Invilla,null,null,null,null,,,,"Raff Ave, Holland Park, Queensland, 4121, AU",-27.47126,153.01831,,"Raff Ave, Holland Park, Queensland, 4121, AU",-27.47126,153.01831
consultant Architect,null,null,null,null,,,,null,null,null,,null,null,null
