Name,Address_0,Latitude_0,Longitude_0,place_id,,,,Address_0,Latitude_0,Longitude_0,,C_A,C_T,C_G
Glenelg Self Storage,null,null,null,null,,,,null,null,null,,null,null,null
Deviation Road Self Storage Naracoorte,null,null,null,null,,,,null,null,null,,null,null,null
Hervey Bay Caravan Storage,null,null,null,null,,,,null,null,null,,null,null,null
Keswick Glass Hardware,null,null,null,null,,,,null,null,null,,null,null,null
TOPSEAM,null,null,null,null,,,,null,null,null,,null,null,null
Roma Space & Storage,null,null,null,null,,,,null,null,null,,null,null,null
Stored4U,null,null,null,null,,,,null,null,null,,null,null,null
CENTRAL COAST STORAGE,null,null,null,null,,,,null,null,null,,null,null,null
Gold Coast Self Storage,null,null,null,null,,,,null,null,null,,null,null,null
SOH Melbourne,null,null,null,null,,,,null,null,null,,null,null,null
JOYQUIP,null,null,null,null,,,,null,null,null,,null,null,null
Red Funnel,null,null,null,null,,,,null,null,null,,null,null,null
Stockit & Lockit,null,null,null,null,,,,null,null,null,,null,null,null
Hullys Automotive,null,null,null,null,,,,null,null,null,,null,null,null
Cooee Storage rental,null,null,null,null,,,,null,null,null,,null,null,null
Maleny Self Storage,null,null,null,null,,,,null,null,null,,null,null,null
Bluebee Logistics Pty Ltd,null,null,null,null,,,,null,null,null,,null,null,null
Maryborough City Storage,null,null,null,null,,,,null,null,null,,null,null,null
FPL Solutions Pty Ltd,null,null,null,null,,,,null,null,null,,null,null,null
Rocket Storage,null,null,null,null,,,,null,null,null,,null,null,null
Ross Hopper Container & Storage,null,null,null,null,,,,null,null,null,,null,null,null
Northside Shelving And Racking,null,null,null,null,,,,"2/37, Leighton Pl, Hornsby, NSW, 2077, AU",-33.84907,151.13834,,"2/37, Leighton Pl, Hornsby, NSW, 2077, AU",-33.84907,151.13834
Better Storage Systems,null,null,null,null,,,,"2810 Ipswich Rd, Darra, Queensland, 4076, AU",-27.47126,153.01831,,"2810 Ipswich Rd, Darra, Queensland, 4076, AU",-27.47126,153.01831
Premier Pallet Racking,null,null,null,null,,,,null,null,null,,null,null,null
Fastcharge Australia Pty Ltd,null,null,null,null,,,,null,null,null,,null,null,null
Warehousing & Distribution Solutions,null,null,null,null,,,,"71-81 Byron Rd, Yennora, New South Wales, 2161, AU",-33.84907,151.13834,,"71-81 Byron Rd, Yennora, New South Wales, 2161, AU",-33.84907,151.13834
David Barry Logistics,null,null,null,null,,,,"null, null, null, null, AU",-25.574999,134.3547,,"null, null, null, null, AU",-25.574999,134.3547
Storage Box Self Storage,null,null,null,null,,,,"23-25 Slough Road, Altona, VIC, 3018, AU",-37.803425,145.01105,,"23-25 Slough Road, Altona, VIC, 3018, AU",-37.803425,145.01105
Outdeco Living,null,null,null,null,,,,null,null,null,,null,null,null
Colby Dandenong,null,null,null,null,,,,null,null,null,,null,null,null
DSW,null,null,null,null,,,,"null, AU, null, null, AU",-25.574999,134.3547,,"null, AU, null, null, AU",-25.574999,134.3547
Belpard Australia,null,null,null,null,,,,null,null,null,,null,null,null
Store It Brookvale,null,null,null,null,,,,null,null,null,,null,null,null
Distribution Centre Forum,null,null,null,null,,,,null,null,null,,null,null,null
Hanging Stuff Clothes Airer Australia,null,null,null,null,,,,null,null,null,,null,null,null
U-Freeze-It,null,null,null,null,,,,null,null,null,,null,null,null
BJ Matthews Transport,null,null,null,null,,,,null,null,null,,null,null,null
