Name,Latitude,Longitude,,Latitude_0,Longitude_0,,C_T,C_G
Facility Management Times,33.923361,-118.167918,,null,null,,33.923361,-118.167918
QV1,-31.951694,115.851304,,-31.939821,115.8162,,-31.939821,115.8162
Greenpool Capital Pty Ltd,48.725608,9.117544,,-31.939821,115.8162,,-31.939821,115.8162
HillCo Property Group,45.537027,-122.779779,,null,null,,45.537027,-122.779779
Pullinen Property Group,45.537027,-122.779779,,-33.84907,151.13834,,-33.84907,151.13834
Benchmark Business Sales Medical and Dental,11.272496,75.834535,,null,null,,11.272496,75.834535
TWO FORTY Perth,43.03374,-87.907789,,-31.939821,115.8162,,-31.939821,115.8162
Fels Electrical,51.127695,9.437204,,null,null,,51.127695,9.437204
Australian Dream Homes Realty,null,null,,-27.47126,153.01831,,-27.47126,153.01831
Castlemaine Coworking,-37.057059,144.218117,,null,null,,-37.057059,144.218117
AGORA Property Group,45.537027,-122.779779,,null,null,,45.537027,-122.779779
Ukl,38.301847,-95.725825,,null,null,,38.301847,-95.725825
Costello Group,24.76667,124,,null,null,,24.76667,124
AHC Limited - Australia,40.272424,-120.143736,,null,null,,40.272424,-120.143736
Knight Frank Cairns,37.961412,-87.497387,,null,null,,37.961412,-87.497387
Ian Cubitt's Classic Home Improvements,null,null,,-33.84907,151.13834,,-33.84907,151.13834
Smorgon Gutman Group,null,null,,-37.803425,145.01105,,-37.803425,145.01105
Heritage Property Partners,38.850395,-94.381998,,null,null,,38.850395,-94.381998
12 Creek St Tower,null,null,,-27.47126,153.01831,,-27.47126,153.01831
Parking Asset Advisory,42.818862,27.881927,,null,null,,42.818862,27.881927
iHarvest Coworking Sunshine,54.975273,-1.628482,,null,null,,54.975273,-1.628482
Metrobuild Pty Ltd,-38.094211,144.368721,,-37.803425,145.01105,,-37.803425,145.01105
Performance Business Sales,null,null,,null,null,,null,null
McArthur & Associates Property Consultants,42.344998,-71.087306,,-27.47126,153.01831,,-27.47126,153.01831
Specialist Disability Accommodation Australia (SDAAUS),null,null,,null,null,,null,null
Castlecorp Real Estate,37.380639,-122.074397,,-33.84907,151.13834,,-33.84907,151.13834
BTP Workspaces,39.721799,-104.974275,,null,null,,39.721799,-104.974275
Peak Spaces - Digital Coworking + Meetings,53.36797,-1.84536,,null,null,,53.36797,-1.84536
McMahon Property Group 孟地集团,null,null,,-37.803425,145.01105,,-37.803425,145.01105
ezipark,-34.927993,138.604766,,-33.84907,151.13834,,-33.84907,151.13834
@WORKSPACES,39.721799,-104.974275,,null,null,,39.721799,-104.974275
Quiet Hive,50.15067,5.57741,,-34.897945,138.59166,,-34.897945,138.59166
Raine and Horne commercial North Sydney,-31.933123,115.85937,,null,null,,-31.933123,115.85937
Property Dynamics,null,null,,-37.803425,145.01105,,-37.803425,145.01105
TOTAL RETAIL GROUP,39.465035,-0.351143,,null,null,,39.465035,-0.351143
Resonate Partners,52.915618,-1.460801,,null,null,,52.915618,-1.460801
Empirica Developments,null,null,,null,null,,null,null
Rutherfords Real Estate,37.380639,-122.074397,,null,null,,37.380639,-122.074397
CR Commercial Property Group,null,null,,null,null,,null,null
Tourism Brokers,53.388808,14.040159,,null,null,,53.388808,14.040159
Purple Patch Doors,40.604194,-111.975551,,-27.47126,153.01831,,-27.47126,153.01831
Macro Underpinning,38.324418,-85.566796,,-37.803425,145.01105,,-37.803425,145.01105
Books about Asbestos,46.524418,6.62789,,-27.994457,153.40938,,-27.994457,153.40938
Lease Boutique,null,null,,null,null,,null,null
Austral Amusement Co,-33.92745,150.80811,,null,null,,-33.92745,150.80811
Dezire Villas,51.53614,-0.198038,,null,null,,51.53614,-0.198038
Dolfen Developments,52.283523,8.101352,,null,null,,52.283523,8.101352
Hills Commercial Rouse Hill,31.758402,-106.487409,,null,null,,31.758402,-106.487409
www.housecleanercares.com.au,null,null,,null,null,,null,null
OVERTA LIMITED,60.86667,15.75,,null,null,,60.86667,15.75
Retailspace Property - Opening the door to property success stories,null,null,,-27.47126,153.01831,,-27.47126,153.01831
No1 Property Guide,38.745807,-121.217001,,-27.994457,153.40938,,-27.994457,153.40938
Commercial Property Improvements,51.190161,0.269622,,-31.939821,115.8162,,-31.939821,115.8162
Prestige Apartment Servicing,52.6246,1.298926,,null,null,,52.6246,1.298926
The KW Co,null,null,,-33.84907,151.13834,,-33.84907,151.13834
Hillscom Property Group,45.537027,-122.779779,,null,null,,45.537027,-122.779779
Afford A Home Group,null,null,,-27.47126,153.01831,,-27.47126,153.01831
Assette,null,null,,null,null,,null,null
CSO Carlton,43.67766,-79.44747,,-37.803425,145.01105,,-37.803425,145.01105
Newlink Property Group,45.537027,-122.779779,,null,null,,45.537027,-122.779779
Industrial Zone Real Estate,-23.865876,151.23361,,null,null,,-23.865876,151.23361
International Property Funds Management,null,null,,-37.803425,145.01105,,-37.803425,145.01105
GMO | WA's Business Broker,6.992542,-9.456789,,null,null,,6.992542,-9.456789
Australian Pharmacy Group,0.319012,32.592318,,null,null,,0.319012,32.592318
Fawkner Property,-37.705493,144.969607,,null,null,,-37.705493,144.969607
ALE Property Group,57.97018,12.25166,,-33.84907,151.13834,,-33.84907,151.13834
Childcare Concepts,null,null,,null,null,,null,null
South Haven Group,41.543049,-87.135478,,null,null,,41.543049,-87.135478
BaseUp Technologies,28.65003,77.23144,,-33.84907,151.13834,,-33.84907,151.13834
iShare Incubator Pty Ltd,null,null,,null,null,,null,null
METrenew,null,null,,null,null,,null,null
Cook Wish Ellison,41.916043,-87.68546,,null,null,,41.916043,-87.68546
Office Tenant Advisory,33.667195,-112.115761,,null,null,,33.667195,-112.115761
