S/T name,SA2 name,Latitude,Longitude
New South Wales,"Randwick, Randwick North",-33.911304,151.242096
New South Wales,"Randwick, Randwick South",-33.911304,151.242096
New South Wales,"Bass Hill, Georges Hall",-33.898314,150.996953
New South Wales,Chullora,-33.891659,151.047284
New South Wales,Condell Park,-33.924585,151.012502
New South Wales,"Greenacre, Mount Lewis",-33.9007,151.055243
New South Wales,Padstow,-33.948778,151.033498
New South Wales,"Panania, Milperra, Picnic Point",-33.950037,150.998367
New South Wales,Revesby,-33.94587,151.014593
New South Wales,"Yagoona, Birrong",-33.904117,151.018248
New South Wales,"Bankstown, Bankstown North",-33.919862,151.031965
New South Wales,"Bankstown, Bankstown South",-33.919862,151.031965
New South Wales,"Belmore, Belfield",-33.918616,151.090115
New South Wales,"Canterbury South, Canterbury South Campsie",-33.913932,151.116102
New South Wales,"Kingsgrove North, Kingsgrove North Earlwood",-33.939682,151.099018
New South Wales,Punchbowl,-33.93099,151.048704
New South Wales,Roselands,-33.934649,151.073829
New South Wales,Lakemba,-33.918735,151.07657
New South Wales,Wiley Park,-33.925447,151.067243
New South Wales,Hurstville,-33.96043,151.100679
New South Wales,"Mortdale, Penshurst",-33.965746,151.073751
New South Wales,"Narwee, Beverly Hills",-33.945384,151.068736
New South Wales,"Oatley, Hurstville Grove",-33.98198,151.08046
New South Wales,"Peakhurst, Lugarno",-33.962439,151.056043
New South Wales,Riverwood,-33.947112,151.053284
New South Wales,"South Hurstville, Blakehurst",-33.977765,151.105499
New South Wales,"Arncliffe , Bardwell Valley",null,null
New South Wales,Bexley,-33.95324,151.121686
New South Wales,"Kingsgrove South, Kingsgrove South Bardwell Park",-33.939682,151.099018
New South Wales,Kogarah,-33.981172,151.111293
New South Wales,"Kogarah Bay , Carlton , Allawah",-33.982487,151.1238
New South Wales,"Monterey , Brighton,le,Sands , Kyeemagh",-33.972458,151.147597
New South Wales,"Rockdale , Banksia",-33.953231,151.140459
New South Wales,"Sans Souci , Ramsgate",-33.995899,151.131864
New South Wales,"Concord , Mortlake , Cabarita",-33.857487,151.10396
New South Wales,"Concord West, North Strathfield",-33.844261,151.09039
New South Wales,"Drummoyne , Rodd Point",-33.852859,151.153011
New South Wales,"Five Dock , Abbotsford",-33.867526,151.129262
New South Wales,Balmain,-33.859213,151.181732
New South Wales,"Leichhardt , Annandale",-33.881842,151.153756
New South Wales,"Lilyfield , Rozelle",-33.869445,151.161234
New South Wales,Ashfield,-33.888031,151.124724
New South Wales,"Burwood , Croydon",-33.877938,151.103664
New South Wales,"Canterbury North,  Canterbury North Ashbury",-33.913932,151.116102
New South Wales,"Croydon Park , Enfield",-33.897001,151.104528
New South Wales,"Dulwich Hill , Lewisham",-33.903478,151.139603
New South Wales,"Haberfield , Summer Hill",-33.878886,151.139225
New South Wales,Homebush,-33.863728,151.081747
New South Wales,Strathfield,-33.881305,151.083627
New South Wales,Strathfield South,-33.894136,151.074138
New South Wales,"Chatswood East, Chatswood East Artarmon",null,null
New South Wales,"Chatswood West, Chatswood West Lane Cove North",null,null
New South Wales,"Lane Cove , Greenwich",-33.815863,151.16721
New South Wales,"St Leonards , Naremburn",null,null
New South Wales,"Willoughby, Castle Cove, Northbridge",-33.806698,151.199186
New South Wales,"Asquith , Mount Colah",null,null
New South Wales,"Berowra , Brooklyn , Cowan",-33.555588,151.206304
New South Wales,"Normanhurst,Thornleigh, Westleigh",-33.723422,151.096348
New South Wales,"Hornsby, Hornsby East",-33.700687,151.092308
New South Wales,"Hornsby, Hornsby West",-33.700687,151.092308
New South Wales,"Waitara, Waitara Wahroonga West",-33.709056,151.107098
New South Wales,"Gordon , Killara",-33.756126,151.150581
New South Wales,"Lindfield , Roseville",-33.780499,151.161351
New South Wales,Pymble,-33.744725,151.140658
New South Wales,St Ives,-33.728832,151.170804
New South Wales,Turramurra,-33.723382,151.13662
New South Wales,"Wahroonga East, Wahroonga East Warrawee",-33.722063,151.112506
New South Wales,"Cremorne , Cammeray",-33.826397,151.226579
New South Wales,"Crows Nest , Waverton",-33.825913,151.203643
New South Wales,Mosman,-33.829705,151.24157
New South Wales,"Neutral Bay , Kirribilli",-33.834865,151.217798
New South Wales,"North Sydney , Lavender Bay",-33.836767,151.2077
New South Wales,"Balgowlah , Clontarf , Seaforth",-33.794767,151.260717
New South Wales,"Manly , Fairlight",-33.812592,151.296542
New South Wales,"Avalon , Palm Beach",-33.04535,147.34574
New South Wales,"Bayview , Elanora Heights",-33.662424,151.291288
New South Wales,"Newport , Bilgola",-33.657735,151.316891
New South Wales,"Warriewood , Mona Vale",-33.688696,151.294127
New South Wales,"Beacon Hill , Narraweena",-33.752772,151.257688
New South Wales,Cromer,-33.728431,151.265556
New South Wales,"Dee Why, North Curl Curl",-33.752429,151.286621
New South Wales,"Forestville , Killarney Heights",-33.759133,151.2134
New South Wales,"Frenchs Forest , Belrose",-33.747687,151.22849
New South Wales,"Freshwater , Brookvale",-33.774365,151.283721
New South Wales,"Manly Vale , Allambie Heights",-33.782812,151.270901
New South Wales,"Narrabeen , Collaroy",-33.720566,151.285398
New South Wales,"Terrey Hills , Duffys Forest",-33.697272,151.229684
New South Wales,"Camden , Ellis Lane",null,null
New South Wales,"Elderslie , Harrington Park",-34.057562,150.715838
New South Wales,"Mount Annan , Currans Hill",-34.065559,150.762622
New South Wales,"Bradbury , Wedderburn",null,null
New South Wales,"Campbelltown , Woodbine",-34.067068,150.820135
New South Wales,"Claymore , Eagle Vale , Raby",-34.046917,150.810009
New South Wales,Holsworthy Military Area,null,null
New South Wales,"Ingleburn , Denham Court",-34.002495,150.861309
New South Wales,"Leumeah , Minto Heights",-34.055915,150.833589
New South Wales,"Macquarie Fields , Glenfield",-33.992556,150.892682
New South Wales,"Minto , St Andrews",-34.030783,150.84817
New South Wales,"Rosemeadow , Glen Alpine",-34.104221,150.79302
New South Wales,Bargo,-34.289386,150.58234
New South Wales,"Douglas Park , Appin",-34.185219,150.706856
New South Wales,"Picton , Tahmoor , Buxton",null,null
New South Wales,"The Oaks , Oakdale",-34.079647,150.569475
New South Wales,"Blackheath , Megalong Valley",-33.63748,150.284031
New South Wales,"Blaxland , Warrimoo , Lapstone",-33.746649,150.610886
New South Wales,"Blue Mountains, Blue Mountains North",-33.685687,150.407402
New South Wales,"Katoomba , Leura",-33.714793,150.30671
New South Wales,"Lawson , Hazelbrook , Linden",-33.721697,150.434012
New South Wales,"Springwood , Winmalee",-33.703877,150.562918
New South Wales,Wentworth Falls,-33.716143,150.3778
New South Wales,"Blue Mountains, Blue Mountains South",-33.685687,150.407402
New South Wales,Cambridge Park,-33.750149,150.726623
New South Wales,"Castlereagh , Cranebrook",-33.681557,150.676631
