Name,Address_0,Latitude_0,Longitude_0,place_id
Andersen Lab,"3344 N Torrey Pines Ct STE 300, La Jolla, CA 92037, United States",32.8938319,-117.2427597,ChIJ6-BYbe0G3IAR6NoVWqNT60s
Herrmann,"7030 Ang Mo Kio Ave 5, #08-106, Singapore 569880",1.3775442,103.8757058,ChIJz6PcDHAX2jERhWCFW1vePCw
Coretex,"Level 1/48 Petrie Terrace, Brisbane City QLD 4000, Australia",-27.4650458,153.0129667,ChIJo40lQapQkWsRQ2Z68_gRsyI
HashRoot Limited,"Ground Floor, Athulya, Infopark Campus, Kakkanad, Kerala 682042, India",10.009263,76.361973,ChIJff8_IIMMCDsR2YVWCZZz5Fo
ACS (Australian Computer Society),"Level 27, Tower 1, International Towers, 100 Barangaroo Ave, Sydney NSW 2000, Australia",-33.86384,151.202089,ChIJA7fy-kauEmsRsg6myhRS8tM
CHD Expert,"Montefiore St 41, Tel Aviv-Yafo, Israel",32.065342,34.76775,ChIJR9HZi25NHRURu-4msFX8kVQ
Enforce Consulting,"6/7 Abrams St, Balcatta WA 6021, Australia",-31.8642897,115.8060225,ChIJH-Uwcl-uMioRZ2vPVaac9pc
Data#3,null,null,null,null
ZOOM International,"02-77 Outram Rd, Singapore",1.2856241,103.8347132,ChIJJzd7FHcZ2jERz3GBHEHx0Mc
GlassHouse Technologies,"level 17/40 Mount St, North Sydney NSW 2060, Australia",-33.8384115,151.205585,ChIJCaFA5iiuEmsRpjfO4Mgtihg
Bytes Technolab Inc.,"D-807 The First B/H Kesavbag Party Plot, Vastrapur, near Mansi Circle, Ahmedabad, Gujarat 380015, India",23.0302559,72.5299926,ChIJqYzwcdWEXjkRsVwyCnMegf0
smartData Enterprises Inc.,"Plot No 9R, SEZ, MIHAN, Nagpur, Dahegaon, Maharashtra 441108, India",21.0371548,79.013686,ChIJC41I0HLH1DsRgo_MOj5ppuM
SPS Commerce,"Zhylianska St, 75, Kyiv, Ukraine, 01032",50.4390204,30.4988629,ChIJ6_u1x_HO1EARQ0hGIVkrGZo
Birlasoft,"1 Grange Rd, Singapore 239693",1.3014488,103.8372499,ChIJMZ6ZF5EZ2jERznz_G8p9wVU
