Name,Location,Overview,Phone,Industry,Company Size,Website,Headquarter,Type,Founded,Linked In URL,Address_0,Latitude_0,Longitude_0,City_0,Location_description_0,Address_1,Latitude_1,Longitude_1,City_1,Location_description_1,Address_2,Latitude_2,Longitude_2,City_2,Location_description_2,Address_3,Latitude_3,Longitude_3,City_3,Location_description_3,Address_4,Latitude_4,Longitude_4,City_4,Location_description_4,Address_5,Latitude_5,Longitude_5,City_5,Location_description_5,Country
Pro-R Automotive,"10/11 Swift Way, Dandenong South, Victoria 3175, AU","Pro-R Automotive is owned and operated by Richard who has been providing the greater Melbourne community with professional automotive maintenance and repairs for over 10 years. We understand your concerns when it comes to choosing an automotive repairer to service your vehicle. This is the reason why we always shop around to get the best parts for your car at the best price and place great importance on the continued training and development of all our technicians.Our service center located at 10/11 Swift Way, Dandenong South, Victoria. At Pro-R Automotive we work hard to ensure you have an outstanding level of customer service. Stop by our workshop to say hello or to have us perform work on your vehicle.",0413 526 614,Automative,2-10 employees,https://www.facebook.com/prorautomotive,"Dandenong South, Victoria",Self-Employed,null,https://www.linkedin.com/company/pro-r-automotive/,null,51.474678,5.622127,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Sewells MSXI,null,"Headquartered in Detroit USA, Sewells MSX International is a subsidiary of MSX International (MSXI), a leading global business process outsourcing company. The combined organizations are represented by over 6,000 employees across 80 different countries.

We operate across Asia Pacific, Africa and the Middle East regions and work closely with leading automotive brands and their dealers.

Our core purpose is to help individuals and organizations in automotive retail, realize their full potential and achieve their goals. We aim to be a key catalyst in the transformation of the global automotive retail industry into one of the most admired and respected retailing businesses in the world. 

Go to www.sewells-msxi.com to learn more or follow us on Twitter @Sewells_MSXI, Facebook at www.facebook.com/SewellsMSXI, or Slideshare at www.slideshare.net/SewellsGroup",null,Automative,"5,001-10,000 employees",http://www.sewells-msxi.com,"Hawthorn East, Victoria",Privately Held,1984,https://www.linkedin.com/company/sewellsmsxi/,null,43.806422,-79.21834,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
K & G Automotive Car Servicing & Repairs,"1/20 Ferguson Street, Underwood, Qld 4119, AU","K&G AUTOMOTIVE WILL KEEP YOUR FLEET ON THE ROAD.A Professional & Reliable Brisbane Fleet ServiceK & G Automotive Car Servicing & Repairs is a multi-award winning European car service and repairs centre that delivers high performance with exceptional customer care. Established in 2008 by award-winning mechanical engineer Shlomi Kuba, K & G Automotive is a family business serving motorists located in the Brisbane Southside region. We specialise in Mercedes, BMW, Audi, Volkswagen and Mini mechanical services and repairs, and offer savings up to 50% off dealer group prices.At K & G Automotive, we offer a priority, award-winning service to keep your Mercedes and Volkswagen commercial fleet vehicles on the road. A vehicle breaking down is an expense you don’t need. Providing a specialist fleet service for Mercedes and Volkswagen trade vehicles,K & G Automotive offers a reliable and reassuringly responsive Brisbane fleet service that is competitively priced- keeping your costs down so that you can maximise your profits. This minimises any downtime, keeping your people and vehicles productive, helping to improve your bottom line. We service:•	Mercedes Sprinter and Vito Van and •	Volkswagen Caddy, Crafter and Transporter.WHY CHOOSE K&G AUTOMOTIVE?Shlomi’s 25 years of automotive experience, including his training in Germany on European cars, ensures excellence in fleet servicing that improves the reliability of your Mercedes and Volkswagen vehicle fleet. Offering an award-winning service, Shlomi personally supervises his team, who are all mechanical experts in Mercedes and Volkswagen. This ensures that fleet servicing excellence is guaranteed every time. We also invest in the latest technology, such as the advanced Autologic Diagnostic Tool that enables us to carry out more accurate diagnostics and repairs. Give our friendly mechanics a call directly on 07 3341 2008 and experience the difference that comes with our K & G Automotive customer commitment.",07 3341 2008,Automative,2-10 employees,https://www.kandgautomotive.com.au,"Underwood, Qld",Privately Held,2008,https://www.linkedin.com/company/k-g-automotive-car-servicing-repairs/,null,51.394513,0.490951,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Midac Batteries SpA,null,"Midac. Power Passion
Passion, commitment and innovation to achieve excellence.
 
The only company that produces Automotive, Motive power and Stationary batteries in the same manufacturing plant, in less than twenty years it has become one of the leading companies in Europe and its products are sold worldwide.

The results obtained are the fruit of the effort that each department, each office has put into improving the products and the quality of service and to seek out new solutions, but it is also thanks to the trust that our customers and partners have placed in the company that we have reached certain technological goals and peaks in our turnover. The challenges we pose ourselves in the future are to further bind our production to matching performance with the environment, constructional quality with an optimized production chain, opening to foreign markets while strengthening our Italian identity, because it is only through technological research, care for our products and by exploiting the worth of our HR, that Midac can succeed in attaining new targets. The company relies heavily on research veered toward accumulating and exploiting energy to manufacture innovative batteries intended for diverse and emerging markets (telecommunications, renewable energy sources, emergency systems, boating and other special usage), capable of competing and being up to par with the competition of large international manufacturers",456132132,Automative,"501-1,000 employees",http://www.midacbatteries.com/en,"Soave, Verona",Public Company,1989,https://www.linkedin.com/company/midac-batteries-spa/,null,55.936778,-4.564952,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Ashdown-Ingram,"Export Park, Brisbane Airport, QLD 4007, AU","Ashdown-Ingram is Australia and New Zealand’s largest distributor of automotive electrical and thermal control parts to the independent automotive aftermarket. With 55 branches, 500+ employees and a philosophy focussed on continuous improvement, the business offers customers a service level unparalleled in the specialist automotive industry.We boast the most comprehensive range of products (including alternators, starter motors, air conditioning components, radiators, lighting, auto electrical parts and accessories). We are the distribution choice for internationally respected brands such as; Bosch, Hella, Denso, Delco Remy, Sanden, Narva, CTEK, OEX Philips, Redarc, Leece-Neville and Ecco to name a few. Learn more about a career with Ashdown-Ingram at www.ashdown-ingram.com.au / www.ashdown-ingram.co.nz",null,Automative,"501-1,000 employees",http://www.ashdown-ingram.com.au,"Brisbane Airport, QLD",Public Company,1965,https://www.linkedin.com/company/ashdown-ingram/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Honda Australia Motor Vehicles,"95 Sharps Rd, Tullamarine, Victoria 3043, AU","Official Distributor of Honda Automotive Cars in Australia.A subsidiary of Honda Motor Co (Japan), Honda Australia is one of the leading importers and retailers of quality vehicles in Australia.The Power of DreamsThe pursuit of dreams was intrinsic to the success of Soichiro Honda, the man who founded Honda. And to this day it remains the driving inspiration of Honda, the company.Everyone has a dream, goal or activity that gives their life deeper meaning and sparks passion.When we pursue our dreams, we feel empowered. This power, in turn, connects us to others who share the same dreams. It gives us the strength to overcome great challenges. It inspires us to spread the joy of our dreams to other people. Ultimately, the power borne of a dream is a creative force, capable of producing revolutionary ideas.",null,Automative,51-200 employees,http://www.honda.com.au,"Tullamarine, Victoria",Privately Held,1981,https://www.linkedin.com/company/hondaaustralia/,null,22.90361,-83.15917,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
West Coast Automotive Supplies,"78 MCDONALD CRESCENT, BASSENDEAN, WA 6054, AU","West Coast Automotive supplies is a family run business established in 1996.West Coast Automotive Supplies is based in Bassendean, Western Australia and is a leading suppliers to the panel and paint industry, supplying automotive paint, industrial paint and consumables for the smash repair industry.At West Coast Automotive Supplies we are a proud supplier of Valspar Refinishers and DeBeer Refinishers.If you are not able to find what you are looking for, please don't hesitate to contact one of our staff and we will endeavor to help anyway possible.",(08)9376 4888,Automative,11-50 employees,https://www.facebook.com/pg/Westcoastautomotivesupplies,"BASSENDEAN, WA",Privately Held,1996,https://www.linkedin.com/company/west-coast-automotive-supplies/,"78 MCDONALD CRESCENT, BASSENDEAN, WA, 6054, AU",-31.939821,115.8162,BASSENDEAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Lexus Australia,"155 Bertie St, Port Melbourne, VIC 3207, AU","In just 30 years, Lexus has established a unique place in the automotive world as a manufacturer of premium vehicles that distil breathtaking design, advanced technology, incredible performance, environmental sensitivity and refined levels of luxury into one distinctive package. Lexus is constantly looking to the future, driven by innovation, and perfection.

The process to create a Lexus vehicle is unique within the automotive industry. Taking inspiration from fields as diverse as the fashion industry, architecture, the arts and medicine, each vehicle is painstakingly crafted to meet Lexus'​ exacting standards meaning we are extremely proud of each and every car that leaves our factory line.

Stay in touch via:

Facebook
https://www.facebook.com/LexusAustralia 

Instagram
https://instagram.com/lexusaustralia 

Website
lexus.com.au 

Contact
http://www.lexus.com.au/contact/",1800 023 009,Automative,"1,001-5,000 employees",http://www.lexus.com.au,"Port Melbourne, VIC",Privately Held,1989,https://www.linkedin.com/company/lexus-australia/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
CKD Automotive Pty Ltd,"343-355 Pennant Hills Rd, Pennant Hills, New South Wales 2120, AU",null,null,Automative,51-200 employees,null,"Pennant Hills, New South Wales",Privately Held,null,https://www.linkedin.com/company/ckd-automotive-pty-ltd/,null,-33.779957,151.277308,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Adrian Brien Automotive - Forestville Service Centre,"Adelaide,   AU","Your experience is our priority!

The Adrian Brien Automotive Forestville Service Centre - your local RAA Approved Mechanic offering you fast, simple & trusted car servicing for most makes & models.",null,Automative,null,http://www.adrianbrien.com.au/4183950/adrian-brien-service-adelaide-south-australia.htm,null,null,null,https://www.linkedin.com/company/adrian-brien-automotive---forestville-service-centre/,"null, Adelaide, null, null, AU",-34.897945,138.59166,Adelaide,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
